,Unnamed: 0,uid,originh,originp,responh,responp,flow_duration,fwd_pkts_tot,bwd_pkts_tot,fwd_data_pkts_tot,bwd_data_pkts_tot,fwd_pkts_per_sec,bwd_pkts_per_sec,flow_pkts_per_sec,down_up_ratio,fwd_header_size_tot,fwd_header_size_min,fwd_header_size_max,bwd_header_size_tot,bwd_header_size_min,bwd_header_size_max,flow_FIN_flag_count,flow_SYN_flag_count,flow_RST_flag_count,fwd_PSH_flag_count,bwd_PSH_flag_count,flow_ACK_flag_count,fwd_URG_flag_count,bwd_URG_flag_count,flow_CWR_flag_count,flow_ECE_flag_count,fwd_pkts_payload.min,fwd_pkts_payload.max,fwd_pkts_payload.tot,fwd_pkts_payload.avg,fwd_pkts_payload.std,bwd_pkts_payload.min,bwd_pkts_payload.max,bwd_pkts_payload.tot,bwd_pkts_payload.avg,bwd_pkts_payload.std,flow_pkts_payload.min,flow_pkts_payload.max,flow_pkts_payload.tot,flow_pkts_payload.avg,flow_pkts_payload.std,fwd_iat.min,fwd_iat.max,fwd_iat.tot,fwd_iat.avg,fwd_iat.std,bwd_iat.min,bwd_iat.max,bwd_iat.tot,bwd_iat.avg,bwd_iat.std,flow_iat.min,flow_iat.max,flow_iat.tot,flow_iat.avg,flow_iat.std,payload_bytes_per_second,fwd_subflow_pkts,bwd_subflow_pkts,fwd_subflow_bytes,bwd_subflow_bytes,fwd_bulk_bytes,bwd_bulk_bytes,fwd_bulk_packets,bwd_bulk_packets,fwd_bulk_rate,bwd_bulk_rate,active.min,active.max,active.tot,active.avg,active.std,idle.min,idle.max,idle.tot,idle.avg,idle.std,fwd_init_window_size,bwd_init_window_size,fwd_last_window_size,traffic_category,Label
10,10,CBTv463lWatXHzgmf3,103.255.15.23,13336,128.199.242.104,443,9.117416,14,13,6,5,1.535523,1.425843,2.961365,0.928571,432,20,40,436,32,44,2,2,2,6,5,24,0,0,0,0,0,745,1829,130.642857,227.011558,0,2896,5025,386.538462,817.479013,0,2896,6854,253.851852,592.60213,20.027161,8884035.11,9117427.111,701340.547,2458728.914,15.974045,8952620.029,9088679.075,757389.9229,2580859.191,9.059906,8884035.11,9117427.111,350670.2735,1740519.844,751.748071,7,6.5,914.5,2512.5,0,0,0,0,0,0,28985.97717,204406.023,233392.0002,116696.0001,124040.704,8884035.11,8884035.11,8884035.11,8884035.11,0,29200,65160,0,Bruteforce-XML,1
11,11,C87B4VRML4MIzqiFc,103.255.15.23,13338,128.199.242.104,443,6.907568,14,13,6,5,2.026763,1.881994,3.908756,0.928571,432,20,40,436,32,44,2,2,2,6,5,24,0,0,0,0,0,744,1828,130.571429,226.803444,0,2896,5025,386.538462,817.479013,0,2896,6853,253.814815,592.570284,25.987625,6664245.129,6907581.806,531352.4466,1842901.197,6.914139,6732625.961,6877804.041,573150.3367,1939779.132,6.914139,6664245.129,6907581.806,265676.2233,1305128.152,992.100262,7,6.5,914,2512.5,0,0,0,0,0,0,28881.78825,214454.8893,243336.6776,121668.3388,131219.9982,6664245.129,6664245.129,6664245.129,6664245.129,0,29200,65160,0,Bruteforce-XML,1
12,12,CDqmaw1RdkdRYvaDMk,103.255.15.23,13340,128.199.242.104,443,4.69254,15,14,6,6,3.196563,2.983459,6.180022,0.933333,488,20,44,456,32,40,2,2,2,6,5,26,0,0,0,0,0,744,1828,121.866667,221.138246,0,1448,5025,358.928571,552.23984,0,1448,6853,236.310345,424.944459,15.02037,4175377.846,4692550.898,335182.207,1107832.34,19.073486,4243956.804,4663156.986,358704.3836,1169876.524,10.967255,4175377.846,4692550.898,167591.1035,787286.5375,1460.40313,7.5,7,914,2512.5,0,0,0,0,0,0,4692550.898,4692550.898,4692550.898,4692550.898,0,0,0,0,0,0,29200,65160,0,Bruteforce-XML,1
13,13,CKPhym3QVbT8Al3aw7,103.255.15.23,13342,128.199.242.104,443,2.198671,14,14,6,5,6.367483,6.367483,12.734967,1,432,20,40,456,32,40,2,2,2,6,5,25,0,0,0,0,0,746,1830,130.714286,227.219795,0,2896,5025,358.928571,792.173394,0,2896,6855,244.821429,583.531716,36.001205,1965543.032,2198696.852,169130.5271,540368.3254,26.941299,2034873.962,2168952.942,166842.534,561415.3508,18.835068,1965543.032,2198696.852,81433.21673,376763.6087,3117.792714,7,7,915,2512.5,0,0,0,0,0,0,2198696.852,2198696.852,2198696.852,2198696.852,0,0,0,0,0,0,29200,65160,0,Bruteforce-XML,1
14,14,CeAyf115VvqK6kdv6k,103.255.15.23,13344,128.199.242.104,443,16.387078,14,13,6,5,0.854332,0.793308,1.64764,0.928571,432,20,40,436,32,44,2,2,2,6,5,24,0,0,0,0,0,744,1828,130.571429,226.803444,0,2896,5025,386.538462,817.479013,0,2896,6853,253.814815,592.570284,16.927719,16156393.05,16387088.78,1260545.29,4475718.524,20.980835,16225394.96,16358444.93,1363203.744,4680393.177,5.960464,16156393.05,16387088.78,630272.6452,3166745.851,418.195366,7,6.5,914,2512.5,0,0,0,0,0,0,28956.89011,201738.8344,230695.7245,115347.8622,122175.2845,16156393.05,16156393.05,16156393.05,16156393.05,0,29200,65160,0,Bruteforce-XML,1
15,15,CMgixZ2D30fY1yOod6,103.255.15.23,13346,128.199.242.104,443,14.004266,14,13,6,5,0.999695,0.928289,1.927984,0.928571,432,20,40,436,32,44,2,2,2,6,5,24,0,0,0,0,0,742,1826,130.428571,226.387589,0,2896,5025,386.538462,817.479013,0,2896,6851,253.740741,592.506773,19.788742,13765733.96,14004278.9,1077252.223,3812504.945,15.02037,13834569.93,13974556.92,1164546.41,3990043.238,6.914139,13765733.96,14004278.9,538626.1115,2697843.026,489.208073,7,6.5,913,2512.5,0,0,0,0,0,0,29706.95496,208837.986,238544.9409,119272.4705,126664.7668,13765733.96,13765733.96,13765733.96,13765733.96,0,29200,65160,0,Bruteforce-XML,1
16,16,CHZDyc0yTgq9KP7Va,103.255.15.23,13348,128.199.242.104,443,11.786487,14,13,6,5,1.187801,1.102958,2.290759,0.928571,432,20,40,436,32,44,2,2,2,6,5,24,0,0,0,0,0,746,1830,130.714286,227.219795,0,2896,5025,386.538462,817.479013,0,2896,6855,253.888889,592.634038,19.073486,11553862.09,11786499.98,906653.8444,3199197.947,10.967255,11621788.98,11757806.78,979817.2315,3351375.66,10.967255,11553862.09,11786499.98,453326.9222,2264111.244,581.598239,7,6.5,915,2512.5,0,0,0,0,0,0,28738.97553,203898.9067,232637.8822,116318.9411,123856.7751,11553862.09,11553862.09,11553862.09,11553862.09,0,29200,65160,0,Bruteforce-XML,1
17,17,CcBMW31C7QPCdgr6K8,103.255.15.23,13350,128.199.242.104,443,9.579908,15,14,6,6,1.565777,1.461392,3.027169,0.933333,488,20,44,468,32,44,2,2,2,6,5,26,0,0,0,0,0,746,1830,122,221.540387,0,1448,5025,358.928571,552.23984,0,1448,6855,236.37931,425.02995,52.928925,9301983.118,9579943.895,684281.7068,2480478.534,14.066696,9370054.96,9550178.051,734629.0808,2594666.88,14.066696,9301983.118,9579943.895,342140.8534,1756023.659,715.560116,7.5,7,915,2512.5,0,0,0,0,0,0,28878.92723,249081.8501,277960.7773,138980.3886,155706.98,9301983.118,9301983.118,9301983.118,9301983.118,0,29200,65160,0,Bruteforce-XML,1
18,18,CMfQhm1JDUy0cSo4S8,103.255.15.23,13352,128.199.242.104,443,7.331628,14,14,6,5,1.909535,1.909535,3.81907,1,432,20,40,456,32,40,2,2,2,6,5,25,0,0,0,0,0,747,1831,130.785714,227.428156,0,2896,5025,358.928571,792.173394,0,2896,6856,244.857143,583.563555,15.02037,6864070.892,7331636.906,563972.0697,1894868.953,9.059906,6932832.956,7301841.021,561680.0785,1915444.778,5.960464,6864070.892,7331636.906,271542.1076,1318389.614,935.12657,7,7,915.5,2512.5,0,0,0,0,0,0,29323.10104,438242.9123,467566.0133,233783.0067,289149.9715,6864070.892,6864070.892,6864070.892,6864070.892,0,29200,65160,0,Bruteforce-XML,1
19,19,C4dc1Il6wt3lLS6hc,103.255.15.23,13354,128.199.242.104,443,4.889648,14,13,6,5,2.863192,2.658678,5.52187,0.928571,432,20,40,424,32,40,2,2,2,6,5,24,0,0,0,0,0,746,1830,130.714286,227.219795,0,2896,5025,386.538462,817.479013,0,2896,6855,253.888889,592.634038,25.033951,4421146.87,4889662.027,376127.8483,1218398.263,16.212463,4489435.911,4859905.005,404992.0837,1288136.318,10.967255,4421146.87,4889662.027,188063.9241,864762.1623,1401.941419,7,6.5,915,2512.5,0,0,0,0,0,0,4889662.027,4889662.027,4889662.027,4889662.027,0,0,0,0,0,0,29200,65160,0,Bruteforce-XML,1
20,20,CwTQNM2b2BT7xFy0rk,103.255.15.23,13356,128.199.242.104,443,2.446596,15,14,6,6,6.130968,5.722236,11.853204,0.933333,488,20,44,456,32,40,2,2,2,6,5,26,0,0,0,0,0,741,1825,121.666667,220.535927,0,1448,5025,358.928571,552.23984,0,1448,6850,236.206897,424.816799,22.888184,2164273.024,2446609.02,174757.7872,573208.7597,15.974045,2232911.11,2417792.797,185984.0613,615232.3752,9.775162,2164273.024,2446609.02,87378.89358,407299.4427,2799.808493,7.5,7,912.5,2512.5,0,0,0,0,0,0,2446609.02,2446609.02,2446609.02,2446609.02,0,0,0,0,0,0,29200,65160,0,Bruteforce-XML,1
21,21,Cl8Nw218OSHKoSFxqb,103.255.15.23,13358,128.199.242.104,443,18.886364,14,13,6,5,0.741276,0.688327,1.429603,0.928571,432,20,40,424,32,40,2,2,2,6,5,24,0,0,0,0,0,744,1828,130.571429,226.803444,0,2896,5025,386.538462,817.479013,0,2896,6853,253.814815,592.570284,20.027161,18655730.01,18886379,1452798.385,5168902.329,11.920929,18724493.03,18857592.11,1571466.009,5401817.043,11.920929,18655730.01,18886379,726399.1924,3656903.448,362.854386,7,6.5,914,2512.5,0,0,0,0,0,0,29146.19446,201502.8,230648.9944,115324.4972,121874.5246,18655730.01,18655730.01,18655730.01,18655730.01,0,29200,65160,0,Bruteforce-XML,1
22,22,CFuetc4pCSHCXC9ide,103.255.15.23,13360,128.199.242.104,443,16.676013,14,14,6,5,0.839529,0.839529,1.679058,1,432,20,40,468,32,44,2,2,2,6,5,25,0,0,0,0,0,744,1828,130.571429,226.803444,0,2896,5025,358.928571,792.173394,0,2896,6853,244.75,583.468215,20.027161,16442947.15,16676025.15,1282771.166,4555139.422,6.914139,16512259.96,16647187.23,1280552.864,4576575.11,6.914139,16442947.15,16676025.15,617630.5612,3162747.766,410.949542,7,7,914,2512.5,0,0,0,0,0,0,29500.9613,203577.0416,233078.0029,116539.0015,123090.3768,16442947.15,16442947.15,16442947.15,16442947.15,0,29200,65160,0,Bruteforce-XML,1
23,23,CadzA834QyigFPQykd,103.255.15.23,13362,128.199.242.104,443,14.471357,14,12,6,5,0.967428,0.829224,1.796653,0.857143,432,20,40,392,32,40,2,2,2,6,5,23,0,0,0,0,0,744,1828,130.571429,226.803444,0,2896,5025,418.75,845.168098,0,2896,6853,263.576923,602.087314,34.809113,14238147.97,14471400.02,1113184.617,3943645.663,18.119812,14306716.92,14441854,1312895.818,4309581.676,18.119812,14238147.97,14471400.02,578856.0009,2845716.133,473.556139,7,6,914,2512.5,0,0,0,0,0,0,28794.05022,204457.9983,233252.0485,116626.0242,124213.1689,14238147.97,14238147.97,14238147.97,14238147.97,0,29200,65160,0,Bruteforce-XML,1
